epoch,train_loss,train_acc,val_loss,val_acc,time_s
1,2.024409898918302,0.1967799642218247,1.9708417506257365,0.23140495867768596,92.35584783554077
2,1.8993180220370216,0.29338103756708406,1.8687811282055438,0.33884297520661155,90.55987238883972
3,1.8180356415951615,0.32558139534883723,1.8513506276548402,0.2396694214876033,90.6989438533783
4,1.7993247901391045,0.33273703041144903,1.8696915462982555,0.2396694214876033,92.1352424621582
5,1.769079560457274,0.3738819320214669,1.7733517284235678,0.38016528925619836,88.70278763771057
6,1.7159313212993532,0.4275491949910555,1.770627388284226,0.30578512396694213,90.49027800559998
7,1.7127775973198878,0.3738819320214669,1.7232280605095478,0.4049586776859504,98.33872842788696
8,1.6854323560308686,0.4221824686940966,1.7441973006429752,0.3884297520661157,92.17264795303345
9,1.6418849502778436,0.4275491949910555,1.7392366109800732,0.35537190082644626,91.30909538269043
10,1.63393419074671,0.4400715563506261,1.7054814740645985,0.36363636363636365,92.15766620635986
